Feature,Coefficient,Odds_Ratio
serum_creatinine,0.9533400284338974,2.5943604419876225
high_blood_pressure,0.7819574986573742,2.1857466767412563
anaemia,0.7597715784121966,2.137787847826924
diabetes,0.5437288606204607,1.7224175574642167
smoking,0.505798491720028,1.6583091380576638
age,0.3688793288353339,1.4461130889948188
creatinine_phosphokinase,0.24386550430044418,1.2761726792092896
serum_sodium,-0.0874332637613276,0.9162800186925114
platelets,-0.12986932277775712,0.8782101854900791
sex,-0.1536505946098191,0.8575716088121984
ejection_fraction,-0.6109854811212757,0.5428156708080062
